Month,Date,Reading  A,Reading  B,Study
6,14  Sun.,詩 59,代上 19-20,
6,15  Mon.,羅 1,代上  21-22,
6,16  Tues.,羅 2,代上 23-24,
6,17  Wed.,羅 3,代上 25-26,
6,18  Thurs.,羅 4,代上 27-29,
6,19  Fri.,羅 5,代下 1-2,創 22
6,20  Sat.,詩 60-61,代下 3-4,
6,21  Sun.,詩 62,代下  -6,
6,22  Mon.,羅 6,代下 7-8,
6,23  Tues.,羅 7,代下 9-10,
6,24  Wed.,羅 8,代下11-12,
6,25 Thurs.,羅 9,代下 13-14,
6,26  Fri.,羅 10,代下 15-16,溫習
6,27  Sat.,詩 63-64,代下 17-18,
6,28  Sun.,詩 65,代下 19-20,
6,29  Mon.,羅 11,代下 21-22,
6,30  Tues.,羅 12,代下 23-24,
7,1  Wed.,羅 13,代下 25-26,
7,2  Thurs.,羅 14,代下 27-28,
7,3  Fri.,羅 15,代下 29-30,創 23
7,4  Sat.,詩 66-67,代下 31-32,
7,5  Sun.,詩 68,代下 33-34,
7,6  Mon.,羅 16,代下 35-36,
7,7  Tues.,林前 1,拉 1-2,
7,8  Wed.,林前 2,拉 3-5,
7,9  Thurs.,林前 3,拉 6-8,
7,10  Fri.,林前 4,拉 9-10,創 24
7,11  Sat.,詩 69-70 ,尼1-2,
7,12  Sun.,詩 71,尼 3-5,
7,13  Mon.,林前 5,尼 6-7,
7,14  Tues.,林前 6,尼 8-10,
7,15  Wed.,林前 7,尼11-13,
7,16  Thurs.,林前 8,斯 1-3,
7,17  Fri.,林前 9,斯 4-6,創 25
7,18  Sat.,詩 72-73,斯7-10,
7,19  Sun.,詩74,伯 1-3,
7,20  Mon.,林前 10,伯 4-6,
7,21  Tues.,林前 11,伯 7-8,
7,22  Wed.,林前 12,伯 9-11,
7,23  Thurs.,林前 13,伯 12-14,
7,24  Fri.,林前 14,伯 15-17,溫習
7,25  Sat.,詩 75-76,伯 18-19,
7,26  Sun.,詩 77,伯 20-21,
7,27  Mon.,林前 15,伯 22-24,
7,28  Tues.,林前 16,伯 25-28,
7,29  Wed.,林後 1,伯 29-31,
7,30  Thurs.,林後 2,伯 32-33,
7,31   Fri.,林後 3,伯 34-35,信息分享
8,1  Sat.,詩 78,伯 36-37,
8,2  Sun.,詩 79-80,伯 38-39,
8,3  Mon.,林後 4,伯 40-42,
8,4  Tues.,林後 5,箴 1-2,
8,5  Wed.,林後 6,箴 3-4,
8,6  Thurs.,林後 7,箴 5-6,
8,7  Fri.,林後 8,箴 7-8,創 26
8,8  Sat. ,詩 81-82,箴 9-10,
8,9  Sun. ,詩 83,箴 11-12,
8,10  Mon.,林後 9,箴 13-14,
8,11  Tues.,林後 10,箴 15-16,
8,12  Wed.,林後 11,箴 17-18,
8,13  Thurs.,林後 12,箴 19-20,
8,14  Fri.,林後 13,箴  21-22,創 27
8,15  Sat. ,詩 84-85,箴  23-24,
8,16  Sun. ,詩 86-87,箴  25-26,
8,17  Mon.,加 1,箴 27-28,
8,18  Tues.,加 2,箴 29-30,
8,19  Wed.,加 3,箴  31,
8,20  Thurs.,加 4,傳 1-2,
8,21  Fri.,加 5,傳 3-4,溫習
8,22  Sat. ,詩 88 ,傳  5-6,
8,23  Sun. ,詩 89-90,傳  7-8,
8,24  Mon.,加 6,傳 9-10,
8,25  Tues.,弗 1,傳 11-12,
8,26  Wed.,弗 2,歌 1,
8,27  Thurs.,弗 3,歌 2,
8,28  Fri.,弗 4,歌 3-4,創 28
8,29  Sat. ,詩 91-92 ,歌 5,
8,30  Sun. ,詩 93-94 ,歌  6,
8,31  Mon.,弗 5,歌 7-8,
9,1  Tues.,弗 6,賽 1-2,
9,2  Wed.,腓 1,賽 3-5,
9,3 Thurs.,腓 2,賽 6-8,
9,4  Fri.,腓 3,賽  9-10,創 29-30
9,5  Sat.,詩 95,賽 11-12,
9,6  Sun.,詩 96 ,賽 13-14,
9,7  Mon.,腓 4,賽 15-17,
9,8  Tues.,西 1 ,賽 18-20,
9,9  Wed.,西 2,賽 21-23,
9,10.Thurs,西 3,賽 24-25,
9,11  Fri.,西 4,賽 26-27,創 31
9,12  Sat.,詩 97 ,賽 28-29,
9,13  Sun.,詩 98 ,賽 30-31,
9,14  Mon.,帖前 1,賽 32-34,
9,15 Tues,帖前 2,賽 35-37,
9,16 Wed.,帖前 3,賽 38-39,
9,17 Thurs.,帖前 4,賽 40-41,
9,18  Fri.,帖前 5,賽 42-43,創 32
9,19  Sat.,詩 99-100 ,賽 44-45,
9,20  Sun.,詩101-102,賽 46-47,
9,21  Mon.,帖後 1,賽 48-49,
9,22 Tues.,帖後 2,賽 50-51,
9,23 Wed.,帖後 3,賽 52-53,
9,24Thurs.,提前 1,賽 54-55,
9,25  Fri.,提前 2,賽 56-57,創 33
9,26  Sat.,詩 103-104,賽 58-59,
9,27  Sun.,詩 105,賽 60-61,
9,28  Mon.,提前3,賽 62-63,
9,29 Tues.,提前 4,賽 64-65,
9,30  Wed.,提前 5,賽 66,
10,1  Thurs.,提前 6,  耶   1-2,
10,2  Fri.,提後 1,  耶  3-4,創 34-35
10,3  Sat.,詩 106,  耶  5-6,
10,4  Sun.,詩 107,  耶   7-8,
10,5  Mon.,提後  2,  耶  9-10,
10,6  Tues.,提後  3,  耶 11-12,
10,7  Wed.,提後  4,  耶  13-14,
10,8  Thurs.,多 1,  耶  15-16,
10,9  Fri.,多 2,  耶  17-18,溫習
10,10  Sat.,詩 108-109,  耶 19-20,
10,11  Sun.,詩 110-111,  耶  21-22,
10,12 Mon.,多 3,  耶  23-24,
10,13  Tues.,門,  耶   25-26,
10,14  Wed.,來1,  耶  27-28,
10,15  Thurs.,來 2,  耶  29-30,
10,16  Fri.,來 3,  耶  31,創 36-37
10,17  Sat.,詩 112-113,  耶 32-33,
10,18  Sun.,詩 114-115,  耶 34-35,
10,19  Mon.,來 4,  耶  36-37,
10,20  Tues.,來 5,  耶  38-39,
10,21  Wed.,來 6,  耶  40-42,
10,22  Thurs.,來 7,  耶  43-44,
10,23  Fri.,來 8,  耶  45-46,創 38-39
10,24  Sat.,詩 116-117,  耶  47-48,
10,25  Sun.,詩 118,  耶  49-50,
10,26 Mon.,來 9,  耶  51-52,
10,27  Tues.,來 10,哀 1-2,
10,28  Wed.,來11,哀 3,
10,29 Thurs.,來12,哀  4,
10,30 Fri.,來13,哀  5,創 40-41
10,31 Sat.,詩 119:1-48,結 1-3,
11,1  Sun.,詩 119:49-88,結  4-6,
11,2  Mon.,雅 1,結  7-9,
11,3  Tues.,雅 2,結 10-11,
11,4  Wed.,雅 3,結 12-13,
11,5  Thurs.,雅 4,結 14-15,
11,6  Fri.,雅 5,結 16,創 42-43
11,7  Sat.,詩 119:89-136,結 17-18,
11,8  Sun.,詩 119:137-176,結  9-20,
11,9  Mon.,彼前 1,結 21-22,
11,10  Tues.,彼前 2,結  23-24,
11,11  Wed.,彼前 3 ,結 25-26,
11,12  Thurs.,彼前 4  ,結 27-28,
11,13  Fri.,彼前 5 ,結 29-30,創 44-45
11,14  Sat.,詩 120-121,結 31-32,
11,15  Sun.,詩 122-123,結  3-34,
11,16  Mon.,彼後 1,結 35-36,
11,17  Tues.,彼後 2,結 37,
11,18  Wed.,彼後 3,結 8-39,
11,19  Thurs., 約壹 1,結 0-41,
11,20  Fri., 約壹2,結 42-43,溫習
11,21  Sat.,詩 124-125,結 44-45,
11,22  Sun.,詩 126-127,結 46-48,
11,23  Mon., 約壹 3,但 1 ,
11,24  Tues.,約壹 4 , 但 2 ,
11,25  Wed.,約壹 5,    但 3-4,
11,26  Thurs.,約貳,  但 5-6,
11,27  Fri.,約叁,  但  7-8 ,創 46-47
11,28  Sat.,詩 128-129,  但 9-10,
11,29  Sun.,詩 130-131,  但11-12 ,
11,30  Mon.,猶,何 1-3,
12,1  Tues.,啓 1,何 4-6,
12,2  Wed.,啓 2,何 7-8,
12,3 Thurs.,啓 3,何 9-10,
12,4  Fri.,啓 4,何 11-12,創 48
12,5  Sat.,詩 132-133,何 13-14,
12,6  Sun.,詩 134-135,珥  1-3,
12,7  Mon.,啓 5,摩  1-3,
12,8  Tues.,啓 6,摩  4-6,
12,9  Wed.,啓 7,摩  7-9,
12,10.Thurs,啓 8,俄   ,
12,11  Fri.,啓 9,拿 1-4,創 49:1-50:14
12,12  Sat.,詩 136-137,彌  1-3,
12,13  Sun.,詩 138-139,彌  4-5,
12,14  Mon.,啓 10,彌  6-7,
12,15 Tues,啓 11,鴻 1-3,
12,16 Wed.,啓 12,哈 1-3,
12,17 Thurs.,啓 13,番 1-3,
12,18  Fri.,啓 14,該 1-2,創  50:15-26
12,19  Sat.,詩 140-141,亞    1,
12,20  Sun.,詩 142-143,亞    2,
12,21  Mon.,啓 15,亞   3,
12,22 Tues.,啓 16,亞   4,
12,23 Wed.,啓 17,亞   5,
12,24Thurs.,啓 18,亞   6,
12,25  Fri.,啓 19,亞  7-8,溫習
12,26  Sat.,詩 144-145,亞  9-10,
12,27  Sun.,詩 146-148,亞 11-12,
12,28  Mon.,啓 20,亞 13-14,
12,29 Tues.,啓 21,瑪  1-2,
12,30  Wed.,啓 22,瑪   3,
12,31 Thurs.,詩 149-150,瑪   4,
